 , , ,Local Intensity,
 , , ,local intensity peak,
ICC_01_001,ICC_01_001_CT,Portal_Ax,114.385,
ICC_01_002,ICC_01_002_CT,Portal_Ax,110.223,
ICC_01_005,ICC_01_005_CT,Portal_Ax,83.4893,
100,CT,ap,110.338,
100,CT,pvp,128.347,
101,CT,ap,91.0632,
101,CT,pvp,102.432,
108,CT,ap,68.7293,
108,CT,pvp,133.403,
120,CT,ap,234.334,
120,CT,pvp,184.232,
121,CT,ap,105.872,
121,CT,pvp,152.6,
