 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,joint maximum,joint average,joint variance,joint entropy,difference average,difference variance,difference entropy,sum average,sum variance,sum entropy,angular second moment,contrast,dissimilarity,inverse difference,inverse difference normalised,inverse difference moment,inverse difference moment normalised,inverse variance,correlation,autocorrelation,cluster tendency,cluster shade,cluster prominence,first measure of information correlation,second measure of information correlation,SRE,LRE,LGRE,HGRE,SRLE,SRHE,LRLE,LRHE,GNU,GNUN,RLNU,RLNUN,RP,GLV,RLV,RE,
104,CT,pvp,17.912,32.6089,-0.351056,0.261927,18.4444,1,10.4444,24.8889,32,7.22222,17.8889,31,4.47014,3.17692,4.45127,0.319188,0.200567,4.44037,0.0548173,7.11111,14.4444,-7.72222,22.2222,0.014805,18.1856,30.2843,7.92449,5.32382,16.6792,3.78156,36.3711,75.6466,4.97928,0.00515741,45.4907,5.32382,0.264379,0.867081,0.170729,0.9607,0.177006,0.249243,339.519,75.6466,-245.485,19345.4,-0.198009,0.892076,0.95774,1.19003,0.0135377,354.593,0.0133406,339.583,0.0145781,422.151,17.9437,0.0537979,297.521,0.89512,0.94358,33.431,0.0659298,4.71506,
105,CT,ap,18.6529,50.6859,-0.570622,-0.116419,20.25,1,8.5,26.75,32,9.75,20,31,5.71713,4.19139,5.59146,0.385992,0.262979,4.47048,0.0536321,3.125,13.5,-3.25,21.25,0.0275862,19.6834,43.898,6.91654,5.07118,15.5541,3.57912,39.3668,133.569,4.93411,0.0096503,42.0234,5.07118,0.272066,0.8725,0.177629,0.963712,0.185245,0.525751,413.54,133.569,-1095.68,56481,-0.420664,0.985873,0.95852,1.19127,0.0277715,396.413,0.0265182,375.22,0.0328851,495.157,5.06035,0.0521145,87.7462,0.898354,0.944437,51.0233,0.0665493,4.65704,
105,CT,pvp,18.0054,38.8107,-0.414886,0.0625885,18.75,1,9.5,25.5,32,8.75,18.5,31,4.95959,3.61799,4.9064,0.352225,0.241775,4.35505,0.0578883,3.25,16,-2.5,19.5,0.0256361,18.6295,35.4753,6.84719,4.90333,14.2116,3.51018,37.2589,101.186,4.83211,0.00990014,40.7152,4.90333,0.285097,0.87667,0.192468,0.965016,0.197946,0.459037,366.367,101.186,-490.644,32260.9,-0.402865,0.980453,0.951583,1.20894,0.0233451,364.05,0.0227688,343.435,0.0257064,452.349,5.48367,0.056548,84.5071,0.882288,0.93794,39.5223,0.0684065,4.57905,
106,CT,ap,16.666,44.005,-0.166333,0.0662582,17,1,8.5,24,32,7.5,15.5,31,5.17386,3.57411,5.16405,0.39739,0.225,4.17751,0.0642266,2,11.5,-1.75,14.5,0.0375667,17.8612,38.9595,6.0193,5.50968,18.8927,3.51965,35.7223,105.676,4.50429,0.0166082,50.1623,5.50968,0.262057,0.864042,0.170356,0.957402,0.186641,0.363118,333.316,105.676,-118.064,32988.5,-0.531415,0.99312,0.963927,1.14429,0.032147,322.925,0.0319911,312.267,0.0327709,365.557,2.84946,0.0624495,41.8862,0.909898,0.954739,45.3028,0.0450509,4.31952,
106,CT,pvp,13.9044,48.229,0.571525,0.246576,13,1,5.5,24,32,9.5,11,31,5.45364,4.20748,5.41597,0.496075,0.344086,4.24961,0.0601796,2,14.5,-2,12,0.0295889,13.9316,42.5682,6.26086,6.48402,23.2551,3.69931,27.8633,102.091,4.57394,0.0140484,68.1816,6.48402,0.226385,0.844767,0.131029,0.944297,0.143592,0.219198,204.686,102.091,411.584,29949.4,-0.496959,0.99066,0.977547,1.1069,0.0430617,244.468,0.0428332,240.315,0.0442567,263.066,3.35947,0.0597002,52.6536,0.944086,0.968471,48.7427,0.0391406,4.3383,
107,CT,ap,16.6074,46.5204,-0.0204376,-0.302766,16.75,1,7.75,25.5,32,9.75,15.5,31,5.52971,4.13238,5.46424,0.412344,0.292954,4.47581,0.0522272,2.625,14,-2.5,20.75,0.0238176,17.0977,45.0581,6.72044,6.09724,21.8025,3.74367,34.1954,119.359,4.85743,0.0104304,60.8732,6.09724,0.241772,0.852392,0.150071,0.949501,0.172447,0.343777,310.313,119.359,-75.3637,41199,-0.48337,0.992203,0.970932,1.11908,0.0218384,325.35,0.0216118,315.728,0.0228021,363.975,4.07222,0.0514567,73.4725,0.926515,0.962562,46.9495,0.038598,4.60202,
107,CT,pvp,16.9085,57.9986,-0.198806,-0.577163,17.6,1,6.8,25.8,32,11.2,16.4,31,6.40201,5.00083,6.33415,0.456848,0.33249,4.46991,0.0519507,2.4,17.2,-2,12.6,0.0319161,18.2119,53.0046,6.54652,5.5597,19.5323,3.63816,36.4237,160.89,4.86871,0.0123406,51.128,5.5597,0.270788,0.863152,0.179753,0.956609,0.165557,0.508714,363.648,160.89,-424.291,64061.2,-0.513935,0.993976,0.949453,1.21939,0.0357378,345.13,0.0353513,324.508,0.037324,436.354,3.45665,0.0506463,62.4235,0.877154,0.9356,58.9,0.0723881,4.64951,
108,CT,ap,17.8993,31.8373,-0.340013,0.181155,18.4,1,10.5,24.8,32,7.3,19,31,4.46101,3.25687,4.43389,0.316388,0.204187,4.42389,0.0552253,13.45,15.4,-13.6,21.9,0.0151909,18.0925,29.5638,8.03746,3.97666,10.2677,3.43113,36.1851,91.9073,5.15424,0.00507536,26.3479,3.97666,0.317919,0.89609,0.224291,0.976362,0.227275,0.544082,346.296,91.9073,-287.455,26230.3,-0.163995,0.84249,0.938488,1.28161,0.0111133,353.439,0.0105329,331.001,0.0135665,456.423,38.5785,0.0540807,600.294,0.851137,0.919065,32.5604,0.0967818,4.82647,
108,CT,pvp,17.0343,31.4845,-0.214121,0.192528,17.3,1,9.9,24,32,7.1,16.9,31,4.41817,3.2207,4.40139,0.331041,0.210182,4.43412,0.0550661,14.2,13.7,-14.65,20.6,0.0152768,17.2049,29.495,8.00258,4.05416,10.6741,3.44099,34.4099,90.4435,5.15411,0.00519662,27.5365,4.05416,0.314226,0.894463,0.221055,0.975408,0.229855,0.533898,314.102,90.4435,-102.875,25829.8,-0.178233,0.854268,0.942381,1.26872,0.0119021,322.313,0.0114671,302.733,0.0138017,415.059,37.7327,0.0541135,587.813,0.860048,0.923334,32.0334,0.0946098,4.8058,
109,CT,ap,20.1534,48.1411,-0.761631,0.340344,20.75,1,10,28,32,8.75,20.75,31,5.35907,3.78272,5.23203,0.344885,0.218837,4.33277,0.0602556,3.5,19.25,-2.875,25.25,0.0286778,21.3954,38.9292,6.7232,5.02839,18.7766,3.51606,42.7908,110.462,4.75219,0.0115716,45.2544,5.02839,0.291413,0.875337,0.20279,0.961934,0.214834,0.413217,475.584,110.462,-894.445,42911.6,-0.404104,0.977447,0.94947,1.21202,0.0228211,451.651,0.0226815,424.992,0.0233988,563.374,5.52132,0.058074,85.0576,0.876132,0.936134,49.7277,0.0682709,4.58274,
109,CT,pvp,20.7297,39.6568,-1.01809,1.37631,21.75,1,12.75,27.25,32,7.75,22.75,31,4.85662,3.40357,4.71372,0.303281,0.186616,4.21953,0.0643816,2.875,20.5,-3,24.5,0.0301336,21.646,32.9121,6.54918,4.31085,13.4899,3.35679,43.292,98.4999,4.63374,0.0126064,33.1484,4.31085,0.315985,0.889907,0.226268,0.971299,0.229956,0.474851,485.481,98.4999,-876.334,38642.3,-0.405824,0.974505,0.943468,1.28619,0.0215456,465.473,0.0209751,434.789,0.0239445,620.373,5.72078,0.0622336,76.9523,0.864885,0.922918,41.1421,0.105141,4.5063,
