 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,joint maximum,joint average,joint variance,joint entropy,difference average,difference variance,difference entropy,sum average,sum variance,sum entropy,angular second moment,contrast,dissimilarity,inverse difference,inverse difference normalised,inverse difference moment,inverse difference moment normalised,inverse variance,correlation,autocorrelation,cluster tendency,cluster shade,cluster prominence,first measure of information correlation,second measure of information correlation,SRE,LRE,LGRE,HGRE,SRLE,SRHE,LRLE,LRHE,GNU,GNUN,RLNU,RLNUN,RP,GLV,RLV,RE,
109,CT,ap,20.1534,48.1411,-0.761631,0.340344,20.75,1,10,28,32,8.75,20.75,31,5.35907,3.78272,5.23203,0.344885,0.218837,4.33277,0.0602556,3.5,19.25,-2.875,25.25,0.0286778,21.3954,38.9292,6.7232,5.02839,18.7766,3.51606,42.7908,110.462,4.75219,0.0115716,45.2544,5.02839,0.291413,0.875337,0.20279,0.961934,0.214834,0.413217,475.584,110.462,-894.445,42911.6,-0.404104,0.977447,0.94947,1.21202,0.0228211,451.651,0.0226815,424.992,0.0233988,563.374,5.52132,0.058074,85.0576,0.876132,0.936134,49.7277,0.0682709,4.58274,
109,CT,pvp,20.7297,39.6568,-1.01809,1.37631,21.75,1,12.75,27.25,32,7.75,22.75,31,4.85662,3.40357,4.71372,0.303281,0.186616,4.21953,0.0643816,2.875,20.5,-3,24.5,0.0301336,21.646,32.9121,6.54918,4.31085,13.4899,3.35679,43.292,98.4999,4.63374,0.0126064,33.1484,4.31085,0.315985,0.889907,0.226268,0.971299,0.229956,0.474851,485.481,98.4999,-876.334,38642.3,-0.405824,0.974505,0.943468,1.28619,0.0215456,465.473,0.0209751,434.789,0.0239445,620.373,5.72078,0.0622336,76.9523,0.864885,0.922918,41.1421,0.105141,4.5063,
110,CT,ap,
110,CT,pvp,
111,CT,ap,18.731,51.3426,-0.454991,-0.145069,19.3333,1,8,27.3333,32,9,17.3333,31,5.68785,4.13605,5.6578,0.379164,0.229141,4.43091,0.0541585,3,14.3333,-2.66667,23,0.0247372,19.8672,44.866,6.68765,4.83626,14.9395,3.44149,39.7343,140.071,4.86526,0.0112827,39.3932,4.83626,0.275572,0.877903,0.180493,0.965974,0.212032,0.55039,420.535,140.071,-745.974,58489.7,-0.462512,0.986404,0.965228,1.14307,0.0290529,399.497,0.0289498,383.579,0.0294777,464.458,4.77021,0.0533251,81.0434,0.913242,0.955743,52.0411,0.0458357,4.59747,
111,CT,pvp,
112,CT,ap,
112,CT,pvp,
113,CT,ap,19.8079,43.8097,-0.553218,-0.143177,21.25,1,10.25,27.5,32,9.25,21.75,31,5.37542,4.09341,5.2755,0.333401,0.229716,4.45154,0.0532358,3.375,14.25,-3,24,0.0254222,20.8657,37.4766,6.9488,4.6675,15.1092,3.50629,41.7314,112.408,4.93934,0.00930998,37.4983,4.6675,0.295283,0.881848,0.202874,0.967585,0.207913,0.500115,454.343,112.408,-569.432,36101.9,-0.408092,0.982743,0.949663,1.22938,0.0177824,431.142,0.0176549,405.57,0.0183604,547.892,5.41878,0.0523074,90.2817,0.877654,0.933788,44.83,0.0781654,4.66452,
113,CT,pvp,20.6855,45.3224,-0.976418,0.656716,22.4,1,10.6,27.8,32,8.2,24,31,5.24988,3.65173,5.05995,0.329505,0.197845,4.28282,0.0640265,3.8,22.4,-3.8,25.4,0.0382208,21.6809,37.0693,6.60402,4.31537,14.3704,3.41653,43.3617,114.601,4.73831,0.0130976,33.6765,4.31537,0.321166,0.890109,0.230569,0.970818,0.2164,0.545704,494.85,114.601,-1241.59,51109.9,-0.404641,0.979446,0.934212,1.30065,0.0236087,468.171,0.022872,430.181,0.026624,642.236,5.61327,0.0598504,81.2573,0.843827,0.915213,46.6821,0.100764,4.60019,
