 , , ,Local Intensity,
 , , ,local intensity peak,
ICC_01_001,ICC_01_001_CT,Portal_Ax,-16,
ICC_01_002,ICC_01_002_CT,Portal_Ax,77.1429,
ICC_01_005,ICC_01_005_CT,Portal_Ax,81.625,
100,CT,ap,-57.1429,
100,CT,pvp,-42.5,
101,CT,ap,90.4783,
101,CT,pvp,-43.4091,
108,CT,ap,68.2,
108,CT,pvp,-51.8,
120,CT,ap,-57,
120,CT,pvp,-105.375,
121,CT,ap,105.25,
121,CT,pvp,-56.8889,
