 , , ,Local Intensity,
 , , ,local intensity peak,
ICC_01_001,ICC_01_001_CT,Portal_Ax,-16,
ICC_01_002,ICC_01_002_CT,Portal_Ax,93.1429,
ICC_01_005,ICC_01_005_CT,Portal_Ax,81.625,
100,CT,ap,-43.5714,
100,CT,pvp,-42.5,
101,CT,ap,90.4783,
101,CT,pvp,-22.8182,
108,CT,ap,68.2,
108,CT,pvp,-31.6,
120,CT,ap,-54,
120,CT,pvp,-68.125,
121,CT,ap,105.25,
121,CT,pvp,-43,
