 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,
100,CT,ap,17.0114,35.6658,-0.241272,0.0378232,17.7143,1,8.57143,24,32,7.57143,17.7143,31,4.7114,3.38814,4.64062,0.351447,0.223297,4.46698,0.0542386,7.42857,13.7143,-7.21429,21.4286,
100,CT,pvp,17.7755,37.7254,-0.241059,-0.0688978,18.25,1,9.625,25.25,32,8.25,19,31,4.93731,3.63048,4.90105,0.34846,0.231704,4.52536,0.0508587,7.4375,15.375,-7.375,20.25,
101,CT,ap,17.2876,31.8974,-0.419131,0.0293281,17.8261,1,9.30435,24,32,7.3913,18.8696,31,4.4778,3.24624,4.43215,0.326899,0.211813,4.4446,0.0544025,25.9783,14.3478,-28.1522,22.3478,
101,CT,pvp,17.2552,29.7581,-0.524356,0.568165,17.7273,1,9.5,23.4545,32,6.13636,17.9545,31,4.16567,2.85185,4.09405,0.316209,0.175009,4.32205,0.0621821,35.5455,15.0909,-36.5227,21.5,
102,CT,ap,16.6125,39.2479,-0.0543283,0.273707,17,1,8.33333,24.3333,32,6.66667,15.3333,31,4.7832,3.33365,4.76734,0.37978,0.203175,4.31104,0.0608424,2.5,12,-3.5,17.6667,
102,CT,pvp,16.6411,44.1624,-0.121906,-0.394298,17,1,7.33333,24.6667,32,9.33333,16.6667,31,5.39481,4.04992,5.37381,0.400779,0.275219,4.51257,0.0518863,3.16667,13,-3.33333,19,
103,CT,ap,19.5818,56.2873,-0.525176,-0.459559,20.75,1,8.5,28.25,32,11.5,22.25,31,6.16114,4.72306,6.10089,0.380597,0.288577,4.54799,0.0488852,2,16.25,-1.875,15.25,
103,CT,pvp,19.4654,56.2226,-0.593041,-0.396201,21.3333,1,8.33333,28,32,11,23.6667,31,6.16581,4.59409,5.96433,0.388146,0.279365,4.50945,0.0512354,2.5,20.6667,-2.83333,26,
104,CT,ap,17.6971,36.144,-0.323988,0.040183,18,1,9.77778,25.2222,32,7.77778,18.1111,31,4.76482,3.46893,4.73763,0.33808,0.219089,4.49265,0.0525474,7.16667,15,-5.88889,22.7778,
104,CT,pvp,17.912,32.6089,-0.351056,0.261927,18.4444,1,10.4444,24.8889,32,7.22222,17.8889,31,4.47014,3.17692,4.45127,0.319188,0.200567,4.44037,0.0548173,7.11111,14.4444,-7.72222,22.2222,
105,CT,ap,18.6529,50.6859,-0.570622,-0.116419,20.25,1,8.5,26.75,32,9.75,20,31,5.71713,4.19139,5.59146,0.385992,0.262979,4.47048,0.0536321,3.125,13.5,-3.25,21.25,
105,CT,pvp,18.0054,38.8107,-0.414886,0.0625885,18.75,1,9.5,25.5,32,8.75,18.5,31,4.95959,3.61799,4.9064,0.352225,0.241775,4.35505,0.0578883,3.25,16,-2.5,19.5,
