 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,
106,CT,ap,16.666,44.005,-0.166333,0.0662582,17,1,8.5,24,32,7.5,15.5,31,5.17386,3.57411,5.16405,0.39739,0.225,4.17751,0.0642266,2,11.5,-1.75,14.5,
106,CT,pvp,13.9044,48.229,0.571525,0.246576,13,1,5.5,24,32,9.5,11,31,5.45364,4.20748,5.41597,0.496075,0.344086,4.24961,0.0601796,2,14.5,-2,12,
107,CT,ap,16.6074,46.5204,-0.0204376,-0.302766,16.75,1,7.75,25.5,32,9.75,15.5,31,5.52971,4.13238,5.46424,0.412344,0.292954,4.47581,0.0522272,2.625,14,-2.5,20.75,
107,CT,pvp,16.9085,57.9986,-0.198806,-0.577163,17.6,1,6.8,25.8,32,11.2,16.4,31,6.40201,5.00083,6.33415,0.456848,0.33249,4.46991,0.0519507,2.4,17.2,-2,12.6,
108,CT,ap,17.8993,31.8373,-0.340013,0.181155,18.4,1,10.5,24.8,32,7.3,19,31,4.46101,3.25687,4.43389,0.316388,0.204187,4.42389,0.0552253,13.45,15.4,-13.6,21.9,
108,CT,pvp,17.0343,31.4845,-0.214121,0.192528,17.3,1,9.9,24,32,7.1,16.9,31,4.41817,3.2207,4.40139,0.331041,0.210182,4.43412,0.0550661,14.2,13.7,-14.65,20.6,
109,CT,ap,20.1534,48.1411,-0.761631,0.340344,20.75,1,10,28,32,8.75,20.75,31,5.35907,3.78272,5.23203,0.344885,0.218837,4.33277,0.0602556,3.5,19.25,-2.875,25.25,
109,CT,pvp,20.7297,39.6568,-1.01809,1.37631,21.75,1,12.75,27.25,32,7.75,22.75,31,4.85662,3.40357,4.71372,0.303281,0.186616,4.21953,0.0643816,2.875,20.5,-3,24.5,
110,CT,ap,19.2695,47.7744,-0.50722,-0.182668,20.75,1,9.5,27.25,32,9.75,23.25,31,5.61637,4.21461,5.52067,0.357996,0.250912,4.42495,0.0570061,3.375,19.25,-3.875,25.25,
110,CT,pvp,18.317,53.5423,-0.45694,-0.295537,19.25,1,7.75,27.5,32,10.25,18.75,31,5.88292,4.46852,5.84142,0.399874,0.275765,4.44709,0.0536216,3,17.75,-2.5,18.75,
111,CT,ap,18.731,51.3426,-0.454991,-0.145069,19.3333,1,8,27.3333,32,9,17.3333,31,5.68785,4.13605,5.6578,0.379164,0.229141,4.43091,0.0541585,3,14.3333,-2.66667,23,
111,CT,pvp,18.0287,36.129,-0.418741,0.477285,18,1,10.3333,25.6667,32,7.33333,17.3333,31,4.61889,3.18507,4.57723,0.33331,0.200262,4.33537,0.0585292,3.5,15.6667,-2.83333,25,
112,CT,ap,17.4007,30.3291,-0.268013,0.145224,17.8,1,10.05,24.05,32,7.4,18.3,31,4.35994,3.17958,4.32988,0.316764,0.211161,4.42818,0.054956,26.175,14.15,-28.575,22.35,
112,CT,pvp,18.284,30.264,-0.751574,0.676203,19.0952,1,10.7143,24.2857,32,6.42857,19.9048,31,4.21878,2.91924,4.13775,0.298564,0.172211,4.32916,0.0616145,35.5,17,-38.4286,22.9048,
113,CT,ap,19.8079,43.8097,-0.553218,-0.143177,21.25,1,10.25,27.5,32,9.25,21.75,31,5.37542,4.09341,5.2755,0.333401,0.229716,4.45154,0.0532358,3.375,14.25,-3,24,
113,CT,pvp,20.6855,45.3224,-0.976418,0.656716,22.4,1,10.6,27.8,32,8.2,24,31,5.24988,3.65173,5.05995,0.329505,0.197845,4.28282,0.0640265,3.8,22.4,-3.8,25.4,
114,CT,ap,14.7945,32.4386,0.802016,0.762498,13.8824,1,8.76471,23.1176,32,6.29412,12.7059,31,4.33085,2.90755,4.22966,0.389311,0.224349,4.35187,0.0619173,37.2059,10.0588,-33.1176,15.4118,
114,CT,pvp,13.1848,32.7478,1.12828,1.57889,12.0588,1,7.29412,21.0588,32,6.23529,10.7647,31,4.26402,2.83099,4.11867,0.438013,0.25346,4.26898,0.0667726,36.3529,8.23529,-31.9412,13.8824,
115,CT,ap,21.0466,41.6254,-0.759935,0.37922,22.1667,1,11.8333,28.3333,32,8,24.5,31,5.06025,3.58379,4.96875,0.30636,0.185172,4.45405,0.0552567,4.58333,20.6667,-5.08333,25.8333,
115,CT,pvp,20.8178,36.4981,-1.00761,1.37667,22,1,12.5,27.3333,32,6.66667,22.5,31,4.53782,3.17333,4.43992,0.287539,0.15478,4.30055,0.0617029,5.33333,19,-5.25,27.5,
116,CT,ap,19.409,38.9357,-0.750296,0.638223,20.4286,1,10.5714,26.2857,32,7.85714,21.5714,31,4.85338,3.39212,4.71822,0.328119,0.204717,4.42668,0.0577557,7.35714,19,-11.7857,24.1429,
116,CT,pvp,18.4102,34.9399,-0.535452,0.499135,18.8571,1,10.2857,25.4286,32,7,19.4286,31,4.5594,3.18017,4.50967,0.320996,0.188605,4.40532,0.0577901,8.92857,17,-7.57143,22.5714,
117,CT,ap,
117,CT,pvp,
118,CT,ap,
118,CT,pvp,
119,CT,ap,20.4903,49.2238,-0.798196,0.383845,21.6667,1,10.3333,29.3333,32,8,19.6667,31,5.39164,3.97651,5.28241,0.34428,0.190916,4.23773,0.0619537,2,17.6667,-2,29,
119,CT,pvp,21.8572,48.9752,-0.899899,0.522652,23,1,12.25,29.5,32,10,22.25,31,5.50504,3.99105,5.328,0.322139,0.226863,4.14416,0.0680464,2.75,21.5,-2.25,22.25,
120,CT,ap,18.7507,34.4451,-0.745584,0.394464,19.625,1,10.375,25.25,32,7.5,21,31,4.57524,3.27087,4.48606,0.308935,0.194403,4.40583,0.0580424,22.375,17.625,-21.8125,24.5,
120,CT,pvp,21.8057,36.3085,-1.23296,1.31247,23.375,1,13.25,27.625,32,6.75,25.625,31,4.59845,3.053,4.38101,0.275969,0.150461,4.32174,0.0643682,27.1875,22,-35.1875,28.125,
121,CT,ap,18.3927,36.0217,-0.367876,0.103708,18.875,1,10.5,25.75,32,7.625,19.375,31,4.73795,3.43215,4.70081,0.325775,0.206659,4.4791,0.0530368,5.9375,15.625,-5.5,23.75,
121,CT,pvp,18.3266,36.5329,-0.440625,0.0447501,18.7778,1,10.3333,25.6667,32,8.11111,18.5556,31,4.81435,3.50153,4.77703,0.33057,0.218376,4.44915,0.0547171,6.16667,17.2222,-7.55556,22.2222,
122,CT,ap,
122,CT,pvp,
123,CT,ap,
123,CT,pvp,
124,CT,ap,18.1021,57.1047,-0.299816,-0.6478,18.6667,1,7.16667,27.5,32,11.6667,21,31,6.24547,4.97081,6.20811,0.417909,0.326608,4.31526,0.0602091,2.5,15.8333,-4,25,
124,CT,pvp,17.3475,46.0234,-0.197439,-0.267577,17.5,1,8.33333,25.8333,32,9,18.5,31,5.47757,4.11476,5.43353,0.392143,0.262051,4.34865,0.057071,2.66667,14.3333,-2.75,20,
125,CT,ap,19.4159,45.7648,-0.702551,0.171217,20.9091,1,9.54545,26.8182,32,8.81818,22.0909,31,5.38343,3.87574,5.24873,0.346227,0.221428,4.48149,0.0555225,8.22727,18.8182,-9.86364,25.2727,
125,CT,pvp,16.8295,31.4742,0.00646527,0.161576,16.6,1,9.8,24.1,32,6.7,16.2,31,4.38111,3.10371,4.36565,0.33369,0.19947,4.4102,0.0570218,8.45,14.3,-8.4,18.2,
126,CT,ap,
126,CT,pvp,
127,CT,ap,17.2023,41.8383,-0.0702857,-0.0306041,17.4,1,9.6,25.6,32,8.8,14.2,31,5.1819,3.86676,5.14748,0.379465,0.256856,4.47656,0.0525964,4.8,12.2,-3.8,17.2,
127,CT,pvp,17.901,39.8236,-0.14536,-0.197073,18,1,10,26.5,32,9.16667,14.1667,31,5.13374,4.00987,5.1114,0.357831,0.260594,4.5078,0.0504512,5,10.8333,-4.41667,18.3333,
128,CT,ap,19.1952,44.2776,-0.557483,0.224158,20,1,10.75,27.5,32,8,19.25,31,5.30565,3.82731,5.20755,0.346796,0.210993,4.29045,0.0624556,3.25,15,-3.125,23.5,
128,CT,pvp,19.9193,47.1057,-0.620321,0.0098633,20.6667,1,11,28,32,10,20.6667,31,5.48308,4.0168,5.44494,0.344171,0.246449,4.43926,0.0534632,3,19,-3.16667,21.6667,
129,CT,ap,21.2119,57.2519,-0.620029,-0.340016,22.3333,1,11,30,32,11.6667,24,31,6.39272,5.25644,6.32043,0.357478,0.265458,4.2297,0.060779,1.5,18.3333,-2.16667,31.3333,
129,CT,pvp,18.6152,52.2624,-0.408416,-0.110218,19.3333,1,7.66667,27,32,9.33333,19.6667,31,5.71686,4.18759,5.62293,0.388165,0.242553,4.20997,0.0626286,1.16667,15,-1.66667,21,
130,CT,ap,18.1929,35.0326,-0.431112,0.0604248,18.9231,1,10.2308,25.2308,32,7.92308,19.8462,31,4.69528,3.42933,4.66265,0.325665,0.216461,4.46838,0.0530592,7.80769,16.1538,-7.84615,22.5385,
130,CT,pvp,17.6578,32.8871,-0.204244,0.183383,18,1,10.4615,24.7692,32,7.53846,19,31,4.50788,3.25718,4.48886,0.325633,0.213975,4.439,0.0552039,8.15385,11.7692,-8.92308,21.7692,
131,CT,ap,
131,CT,pvp,
132,CT,ap,18.6486,42.8203,-0.521302,0.134138,19,1,10.2,26.6,32,8.6,21.2,31,5.22505,3.95164,5.20932,0.351718,0.227066,4.36201,0.0581741,3.2,19.6,-3.8,24,
132,CT,pvp,19.2278,55.9528,-0.408416,-0.704679,20.5,1,8,28.5,32,12,20.5,31,6.28274,5.16381,6.14678,0.389924,0.307895,4.57752,0.0479898,3,23.5,-2.25,21.5,
133,CT,ap,15.8847,46.917,0.022952,0.441506,16,1,8,24.6667,32,9.33333,13.3333,31,5.39375,3.95013,5.36455,0.45191,0.309929,4.39482,0.0553807,2.33333,8,-2.5,14.3333,
133,CT,pvp,20.1942,52.6554,-0.828345,0.0718277,22,1,10.3333,28,32,10.3333,25,31,5.83487,4.18156,5.62792,0.360347,0.247873,4.27429,0.0640364,2.33333,17.6667,-2.83333,28,
134,CT,ap,20.3673,38.0092,-1.03637,1.15109,21.8889,1,11.2222,26.3333,32,7,22.6667,31,4.68597,3.22736,4.51521,0.302638,0.168901,4.29,0.0652299,8.61111,20.4444,-9.11111,25.4444,
134,CT,pvp,20.5839,34.8466,-0.951209,1.28915,21.375,1,13,27,32,6.875,22.125,31,4.44527,2.99553,4.36996,0.286271,0.162876,4.37846,0.0590504,7.8125,18.625,-6.6875,26,
135,CT,ap,
135,CT,pvp,
136,CT,ap,20.2544,49.1366,-0.778413,0.426238,21.1111,1,10.3333,28.1111,32,9.11111,23.6667,31,5.39192,4.10846,5.30103,0.340867,0.222058,4.3018,0.0617318,5.22222,20.7778,-5.88889,23.1111,
136,CT,pvp,20.0202,38.4387,-0.546979,-0.00545521,20.8,1,11.8,27.6,32,8.8,21.8,31,5.004,3.72854,4.97133,0.312129,0.218583,4.51401,0.0505443,6.3,17.4,-6.8,27.8,
137,CT,ap,19.7593,45.7438,-0.680526,-0.00895425,21.1429,1,10.1429,27.4286,32,9,23,31,5.44178,4.01712,5.30128,0.341516,0.224569,4.5071,0.0525566,5.78571,20,-5.21429,25.2857,
137,CT,pvp,19.4701,44.1204,-0.574293,-0.0107421,20.4286,1,10.1429,27.2857,32,9,22.7143,31,5.32491,3.90522,5.24007,0.345475,0.230034,4.52645,0.050744,4.21429,20.5714,-5.71429,27.7143,
138,CT,ap,
138,CT,pvp,
139,CT,ap,18.2269,47.6698,-0.454748,0.00335634,18.7273,1,8,26.0909,32,9.18182,19.5455,31,5.44024,4.19016,5.37294,0.372135,0.243996,4.33521,0.0595205,4.36364,13.3636,-3.81818,21.2727,
139,CT,pvp,17.2263,38.7621,-0.0792133,-0.154988,17.4545,1,9.36364,25.3636,32,8.63636,16.3636,31,4.95369,3.73055,4.93871,0.359304,0.248237,4.44609,0.0536352,4.59091,12.9091,-4.27273,17,
140,CT,ap,19.0467,58.8553,-0.511114,-0.119975,20.25,1,8.25,28.75,32,10.75,21.5,31,6.12911,4.68683,5.99217,0.408085,0.282114,4.1612,0.0640059,1.75,16.25,-2.5,24,
140,CT,pvp,19.648,36.1228,-0.771259,1.05848,20.3333,1,11.3333,25.6667,32,7,21.3333,31,4.53853,3.06891,4.49186,0.30815,0.181169,4.19775,0.0685861,3,17.6667,-3.83333,24.3333,
141,CT,ap,16.0891,28.1494,0.178624,0.160207,15.8125,1,9.625,23.0625,32,6.9375,15.1875,31,4.17921,3.03613,4.16032,0.331469,0.219594,4.38493,0.0568939,15.5625,12.1875,-17.2812,18.4375,
141,CT,pvp,16.0732,32.4268,0.150448,-0.196021,16,1,9,23.6667,32,7.77778,15.2222,31,4.59167,3.39104,4.55253,0.355348,0.244027,4.46079,0.0530455,17.1111,11.1111,-14.5,21.2222,
142,CT,ap,18.9397,38.0863,-0.566894,-0.0314354,19.8571,1,10.1429,26.2857,32,8.28571,21.4286,31,4.94447,3.65942,4.86095,0.325821,0.216317,4.52843,0.0514542,15.2857,17.1429,-14.8571,24.1429,
142,CT,pvp,18.6385,35.296,-0.524697,0.0884776,19.1429,1,10.7143,25.4286,32,7.85714,21.5714,31,4.72397,3.39632,4.68524,0.316861,0.20584,4.48095,0.0527279,15.7143,16.2857,-16.8571,23.5714,
143,CT,ap,17.3182,40.1588,-0.339866,0.0368025,17.75,1,9,25.25,32,8.5,17,31,4.99503,3.63482,4.97427,0.364111,0.241971,4.47149,0.0522735,2.5,13.25,-2.375,18.75,
143,CT,pvp,16.9122,41.7198,0.00061854,-0.208322,17.25,1,8.5,25.75,32,8.5,16.5,31,5.14032,3.75949,5.11433,0.380119,0.253345,4.48216,0.0534986,3.25,13.75,-3.375,17.5,
144,CT,ap,17.9865,30.8671,-0.485382,0.595567,18.5714,1,10.7143,24.4286,32,6.85714,18.7143,31,4.26856,2.97455,4.21367,0.307886,0.187625,4.36908,0.0590285,10.8571,15,-9.14286,20.2857,
144,CT,pvp,17.9976,31.3605,-0.107685,0.00949793,18,1,11,25.2,32,7.6,19,31,4.44957,3.23558,4.43019,0.3108,0.211446,4.45775,0.0532673,8.2,13.2,-7.5,19.8,
145,CT,ap,
145,CT,pvp,
146,CT,ap,16.6178,45.5575,-0.146106,-0.525079,17,1,8,25,32,10.25,20.25,31,5.57358,4.39456,5.56831,0.405204,0.304523,4.46599,0.0511887,2.125,15.75,-2.625,16.75,
146,CT,pvp,17.074,42.6917,-0.074178,0.129648,17,1,8.5,26,32,7.75,16,31,5.06964,3.6215,5.01262,0.389613,0.224317,4.3568,0.0580686,2.625,15.75,-2,16.75,
147,CT,ap,20.0847,56.0268,-0.665522,-0.142839,21.2,1,8.8,29,32,10.6,21.4,31,6.07635,4.69485,5.94436,0.373148,0.259559,4.4864,0.0528503,4.2,18.2,-3.5,25.4,
147,CT,pvp,19.687,46.9602,-0.704234,0.221942,21,1,9.75,27.25,32,8.75,22.5,31,5.45142,3.90615,5.33346,0.350025,0.221316,4.48672,0.0544106,4.75,17.75,-4.375,24.75,
148,CT,ap,16.831,33.3647,-0.0833443,-0.0999593,17.0833,1,9.25,24.25,32,7.75,16.9167,31,4.59932,3.39506,4.58394,0.343521,0.230326,4.50063,0.0514954,9.375,13.6667,-10.5417,21.8333,
148,CT,pvp,17.6142,31.6624,-0.381226,0.238961,17.6667,1,9.88889,24.3333,32,7.33333,17.2222,31,4.43057,3.21329,4.41077,0.320634,0.206017,4.43296,0.0549936,12.1667,14.6667,-9.38889,21.5556,
149,CT,ap,
149,CT,pvp,
150,CT,ap,
150,CT,pvp,
151,CT,ap,16.6123,28.1879,-0.00097823,-0.00197662,16.5,1,9.95,23.3,32,7.1,16.1,31,4.22394,3.05973,4.21148,0.319642,0.214073,4.4273,0.0545463,29.525,12.5,-27.55,19.95,
151,CT,pvp,16.6976,29.423,-0.0523709,-0.124598,16.8,1,9.55,23.5,32,7.3,16.8,31,4.34023,3.20199,4.33283,0.325017,0.218771,4.45649,0.0527979,24.825,13.1,-27.4,22.35,
152,CT,ap,
152,CT,pvp,
153,CT,ap,
153,CT,pvp,
154,CT,ap,17.3677,42.4513,-0.187485,-0.206601,17.75,1,9,25.75,32,9,14.75,31,5.25043,3.94334,5.22575,0.377191,0.260055,4.44363,0.0530536,3.625,13.25,-3.75,20.5,
154,CT,pvp,15.6194,59.0851,0.104897,-0.530834,15,1,5.5,26.25,32,11,10.5,31,6.22725,4.70329,6.16735,0.492791,0.366491,4.33812,0.0570059,2.125,11,-2.375,12.25,
155,CT,ap,21.2727,42.0724,-0.912763,0.636815,22.5,1,12,28.5,32,8.16667,24.3333,31,5.1021,3.69772,4.99504,0.304584,0.187556,4.38151,0.0576395,4.5,19.8333,-5.75,27.1667,
155,CT,pvp,21.098,39.1055,-1.01988,1.0752,22.3333,1,12.8333,27.8333,32,7.16667,23.3333,31,4.75721,3.24035,4.65754,0.296786,0.166289,4.38243,0.058177,4.83333,18,-6.25,27.6667,
156,CT,ap,16.0787,36.3446,0.0296034,-0.22675,15.8,1,8.2,24.2,32,8.6,16,31,4.8726,3.77711,4.85428,0.375091,0.263947,4.46763,0.0522604,4.2,12,-4.3,18.8,
156,CT,pvp,17.0904,40.4072,-0.0903031,0.0995088,17.2,1,8.8,25.2,32,8.2,17.2,31,4.84332,3.51042,4.83232,0.369272,0.238219,4.34139,0.0613267,5.7,15.6,-5.8,18.6,
157,CT,ap,17.1043,38.3442,-0.466174,-0.0248942,18.0833,1,8,24.0833,32,7.75,19.1667,31,4.90309,3.50931,4.78261,0.362776,0.223855,4.46684,0.0547026,10,15.8333,-10.875,21.5,
157,CT,pvp,19.2701,38.1636,-0.67187,0.313863,20.125,1,10.5,26,32,7.875,20.25,31,4.85486,3.46383,4.74911,0.319884,0.2009,4.45405,0.0550017,9.875,16.125,-8.8125,23.75,
158,CT,ap,19.4771,40.0426,-0.690433,-0.0056282,20.6667,1,10.3889,26.6667,32,8.55556,21.8889,31,5.08189,3.74776,4.96007,0.323984,0.21588,4.49967,0.0526997,13.4167,19.7222,-15.8889,25.1111,
158,CT,pvp,18.5206,32.9793,-0.49188,0.33087,19.0556,1,10.8333,25.4444,32,7.16667,19.4444,31,4.46986,3.1731,4.42536,0.309116,0.190099,4.4375,0.0553306,13.4167,16.8333,-13.5,22,
159,CT,ap,18.1701,36.7585,-0.527115,0.0181526,19.25,1,9.5,25.125,32,8,20.875,31,4.82352,3.5162,4.74384,0.333031,0.216081,4.45892,0.0538333,6.5625,15.375,-7.5,24.625,
159,CT,pvp,17.9042,34.3935,-0.285022,0.156333,18.2857,1,10.1429,25,32,7.71429,18.2857,31,4.62407,3.34878,4.58347,0.32772,0.212713,4.46757,0.0544393,7.14286,14.7143,-5.92857,19.2857,
160,CT,ap,17.9953,28.9036,-0.536425,0.512301,18.4286,1,11,24.1429,32,6.78571,19.0714,31,4.18199,2.93733,4.14858,0.299147,0.186095,4.377,0.0577217,18.0714,15.7857,-17.7857,21.9286,
160,CT,pvp,17.7559,26.3513,-0.510409,0.726643,18.3333,1,11.2,23.8,32,6.06667,18.6667,31,3.92636,2.76035,3.90656,0.288007,0.168836,4.29427,0.0624176,18.7,14.8667,-18.8,22.2,
161,CT,ap,20.7215,37.8738,-0.984637,1.24556,22.5,1,12.75,27.25,32,8,24.25,31,4.82191,3.49842,4.67997,0.299686,0.19037,4.15129,0.06771,3.375,19.25,-3.625,25.25,
161,CT,pvp,18.1425,46.3664,-0.534108,0.13159,19,1,7.5,25.5,32,8,18.5,31,5.29966,3.8371,5.21464,0.383454,0.224432,4.44896,0.0541309,3.5,15,-3.25,22,
162,CT,ap,20.0594,48.2517,-0.877834,0.501915,21.5,1,9.5,27.5,32,8,23,31,5.34436,3.66461,5.25402,0.346425,0.190017,4.34477,0.0582808,2.25,16.5,-2,14,
162,CT,pvp,20.8837,40.6143,-0.798625,0.839901,21.5,1,13,28.5,32,7,21,31,4.85319,3.38621,4.79211,0.305164,0.162791,4.30655,0.0600192,2.25,16,-1.75,23,
163,CT,ap,19.2441,45.5142,-0.628096,0.208714,20.625,1,9.375,26.75,32,8.5,22.375,31,5.33836,3.81753,5.16998,0.35178,0.218912,4.50102,0.0537128,7.0625,17.125,-8.625,23.5,
163,CT,pvp,19.1898,38.7894,-0.637331,0.557447,19.8,1,10.4,26.6,32,7,19.8,31,4.71724,3.17711,4.63438,0.323971,0.181383,4.42677,0.0578345,7,18.2,-7.2,23,
164,CT,ap,
164,CT,pvp,
165,CT,ap,19.9496,50.1686,-0.645494,0.0428088,21.5,1,10.25,28,32,10.25,22.25,31,5.72832,4.36691,5.63818,0.355352,0.255771,4.46943,0.0529367,2.75,18.75,-2.75,20.75,
165,CT,pvp,18.7165,49.0241,-0.428603,-0.0604134,20,1,9.25,27,32,9.25,22.25,31,5.68588,4.23162,5.59486,0.377779,0.254,4.35671,0.0571734,2.75,20,-2.5,21.75,
166,CT,ap,20.057,27.4628,-1.08538,2.0173,20.9167,1,13.6667,25.5,32,5.83333,22.3333,31,3.87333,2.57988,3.78072,0.257017,0.140639,4.17356,0.0705706,18,17.5,-23.7083,24.0833,
166,CT,pvp,19.5488,24.1696,-0.962522,2.02456,20.1667,1,13.6667,24.8333,32,5.66667,20.9167,31,3.63751,2.44661,3.57476,0.250245,0.142509,4.13001,0.0727417,23.625,18.3333,-23.25,22.8333,
167,CT,ap,
167,CT,pvp,
168,CT,ap,
168,CT,pvp,
169,CT,ap,19.665,31.8353,-0.717125,1.03838,20.1429,1,12.7143,26,32,6.85714,20.1429,31,4.31902,3.00274,4.28172,0.286601,0.171527,4.30336,0.061372,3.85714,17.1429,-5,23.7143,
169,CT,pvp,18.6134,33.1122,-0.50301,0.765146,19,1,11,25,32,7,19,31,4.34183,3.0026,4.30615,0.308673,0.184042,4.14575,0.0694662,3.125,13.25,-3.75,20,
170,CT,ap,17.3396,45.5338,-0.224858,-0.585468,17.7143,1,8.42857,26.1429,32,10.7143,17.8571,31,5.64476,4.50463,5.62352,0.392262,0.313808,4.57626,0.0476236,7.42857,13.2857,-8.14286,24.2857,
170,CT,pvp,16.7075,36.8922,-0.193543,-0.398057,17.1667,1,8.66667,24.1667,32,9.16667,14.5,31,5.05191,3.97014,5.01223,0.365529,0.277584,4.48692,0.0512463,10.25,12.6667,-7.91667,21,
171,CT,ap,17.5264,30.9403,-0.331617,0.141262,17.7857,1,10.2143,24.4286,32,7.5,17.7857,31,4.39106,3.20148,4.36341,0.317945,0.213749,4.43184,0.0551554,14.1071,15.2857,-14.3929,21.5,
171,CT,pvp,17.0295,28.2797,-0.119437,0.204131,17,1,10.3333,23.7333,32,6.93333,17.2,31,4.17362,3.01609,4.16259,0.313192,0.20375,4.38466,0.0568208,15.1667,12.8667,-13.9,21.4,
172,CT,ap,17.4561,39.7689,-0.116056,-0.169546,17.4,1,9.3,25.5,32,8.9,18,31,5.07803,3.82327,5.02332,0.363621,0.257145,4.49426,0.0521851,5.55,13,-5.4,20,
172,CT,pvp,17.1112,47.205,-0.139642,-0.480468,17.1,1,8.1,26,32,9.9,15.3,31,5.68629,4.41178,5.61418,0.410129,0.29394,4.56837,0.0484839,5.1,14.8,-5.8,20.9,
173,CT,ap,19.5703,42.971,-0.553451,0.00233531,20.1429,1,10.4286,27.2857,32,8.71429,20.7143,31,5.25735,3.86786,5.20928,0.335357,0.218321,4.50913,0.052268,3.78571,18,-3.57143,23.2857,
173,CT,pvp,18.4867,37.2721,-0.469139,0.0529481,18.8,1,10,26,32,8.4,17.6,31,4.86246,3.59178,4.81537,0.331223,0.222902,4.4183,0.0552198,4,16,-3.9,21,
174,CT,ap,22.1202,50.0396,-1.06379,0.907155,23.3333,1,12.6667,30,32,7.33333,22,31,5.34421,3.53407,5.24812,0.319298,0.157262,4.26079,0.0590161,2.5,23.6667,-1.83333,29,
174,CT,pvp,19.1961,40.3365,-0.65656,0.683932,19.6667,1,10.3333,26.3333,32,8,19.3333,31,4.8814,3.61322,4.82145,0.332211,0.21268,4.12343,0.0675654,2,15,-2.33333,22.3333,
175,CT,ap,
175,CT,pvp,
176,CT,ap,20.672,47.8445,-0.700673,0.473848,22,1,12,28.5,32,10.5,16.5,31,5.68549,4.32098,5.58023,0.336313,0.257576,4.1558,0.061809,1.25,18,-1,25.5,
176,CT,pvp,23.0272,58.1133,-1.54817,1.78821,25.5,1,9.5,30,32,7.5,28.5,31,5.62857,3.58882,5.17044,0.331023,0.155584,3.94004,0.073599,1.25,16.5,-1.5,18.5,
177,CT,ap,
177,CT,pvp,
